Time,Flow Frequency,Pressure
37.0,0.0,2.
37.0,0.0,2.
37.0,0.0,1.
37.0,0.0,2.
37.0,0.0,2.
37.0,0.0,2.
37.0,0.0,2.
37.0,0.0,2.
38.0,0.0,2.
38.0,0.0,2.
38.0,0.0,2.
38.0,0.0,2.
38.0,0.0,2.
38.0,0.0,2.
38.0,0.0,2.
38.0,0.0,2.
38.0,0.0,2.
38.0,0.0,2.
39.0,0.0,2.
39.0,0.0,2.
39.0,0.0,2.
39.0,0.0,2.
39.0,0.0,2.
39.0,0.0,2.
39.0,0.0,2.
39.0,0.0,2.
39.0,0.0,2.
39.0,0.0,2.
40.0,0.0,2.
40.0,0.0,2.
40.0,0.0,2.
40.0,0.0,2.
40.0,0.0,2.
40.0,0.0,2.
40.0,0.0,2.
40.0,0.0,2.
40.0,0.0,2.
40.0,0.0,2.
41.0,0.0,2.
41.0,69.0,2.
41.0,68.9,2.
41.0,69.0,2.
41.0,69.0,2.
41.0,69.0,2.
41.0,69.0,2.
41.0,69.0,2.
41.0,69.0,2.
41.0,69.0,2.
42.0,69.0,2.
42.0,69.0,2.
42.0,69.0,2.
42.0,69.0,2.
42.0,69.0,2.
42.0,69.0,2.
42.0,69.0,2.
42.0,69.0,2.
42.0,69.0,2.
42.0,69.0,2.
43.0,69.0,2.
43.0,69.0,2.
43.0,69.0,2.
43.0,69.0,2.
43.0,69.0,2.
43.0,69.0,2.
43.0,69.0,2.
43.0,69.0,2.
43.0,69.0,2.
43.0,69.0,2.
44.0,69.0,2.
44.0,69.0,2.
44.0,69.0,2.
44.0,69.0,2.
44.0,69.0,2.
44.0,69.0,2.
44.0,69.0,2.
44.0,69.0,2.
44.0,69.0,2.
44.0,69.0,2.
45.0,69.0,2.
45.0,69.0,2.
45.0,69.0,2.
45.0,69.0,2.
45.0,69.0,2.
45.0,69.0,2.
45.0,69.0,2.
45.0,69.0,2.
45.0,69.0,2.
45.0,69.0,2.
46.0,69.0,2.
46.0,68.9,2.
46.0,69.0,2.
46.0,69.0,2.
46.0,69.0,2.
46.0,69.0,1.
46.0,69.0,1.
46.0,69.0,2.
46.0,69.0,1.
46.0,69.0,1.
47.0,69.0,1.
47.0,69.0,1.
47.0,69.0,0.
47.0,69.0,0.
47.0,69.0,0.
47.0,69.0,0.
47.0,69.0,0.
47.0,69.0,0.
47.0,69.0,0.
47.0,69.0,1.
48.0,69.0,1.
48.0,69.0,1.
48.0,69.0,1.
48.0,69.0,2.
48.0,69.0,3.
48.0,69.0,3.
48.0,69.0,3.
48.0,69.0,3.
48.0,69.0,3.
48.0,69.0,3.
49.0,69.0,3.
49.0,69.0,3.
49.0,69.0,3.
49.0,69.0,3.
49.0,69.0,3.
49.0,69.0,3.
49.0,69.0,3.
49.0,69.0,3.
49.0,69.0,3.
49.0,69.0,3.
50.0,69.0,3.
50.0,69.0,3.
50.0,69.0,3.
50.0,69.0,3.
50.0,69.0,3.
50.0,69.0,3.
50.0,69.0,3.
50.0,69.0,3.
50.0,69.0,3.
50.0,69.0,3.
51.0,69.0,3.
51.0,68.9,3.
51.0,69.0,3.
51.0,69.0,3.
51.0,69.0,3.
51.0,69.0,3.
51.0,69.0,3.
51.0,69.0,3.
51.0,69.0,3.
51.0,69.0,3.
52.0,69.0,3.
52.0,69.0,3.
52.0,69.0,3.
52.0,69.0,3.
52.0,69.0,3.
52.0,69.0,3.
52.0,69.0,3.
52.0,69.0,3.
52.0,69.0,3.
52.0,69.0,3.
53.0,69.0,3.
53.0,68.9,3.
53.0,69.0,3.
53.0,69.0,3.
53.0,68.9,3.
53.0,68.9,3.
53.0,69.0,3.
53.0,69.0,3.
53.0,69.0,3.
53.0,69.0,3.
54.0,69.0,3.
54.0,69.0,3.
54.0,69.0,3.
54.0,69.0,3.
54.0,69.0,3.
54.0,69.0,3.
54.0,69.0,3.
54.0,69.0,3.
54.0,69.0,3.
54.0,69.0,3.
55.0,68.9,3.
55.0,69.0,3.
55.0,69.0,3.
55.0,69.0,3.
55.0,69.0,3.
55.0,69.0,3.
55.0,69.0,3.
55.0,69.0,3.
55.0,69.0,3.
55.0,69.0,3.
56.0,69.0,3.
56.0,69.0,3.
56.0,69.0,3.
56.0,69.0,3.
56.0,69.0,3.
56.0,69.0,3.
56.0,69.0,3.
56.0,69.0,3.
56.0,68.9,3.
56.0,69.0,3.
57.0,69.0,3.
57.0,69.0,3.
57.0,69.0,3.
57.0,69.0,3.
57.0,69.0,3.
57.0,69.0,3.
57.0,69.0,3.
57.0,69.0,3.
57.0,69.0,3.
57.0,69.0,3.
58.0,69.0,3.
58.0,69.0,3.
58.0,69.0,3.
58.0,69.0,3.
58.0,69.0,3.
58.0,69.0,3.
